Timestamp,22 Gordon Street Weather Station OAT,"London, United Kingdom Temp",Student Centre Luft WS600 OAT(act)
2026-01-16T08:00:00Z London,7.368333180745442,4.25,7.75
2026-01-16T09:00:00Z London,8.77750019232432,5.25,8.125
2026-01-16T10:00:00Z London,11.647499958674112,6.25,8.916666666666666
2026-01-16T11:00:00Z London,12.704166571299234,7,9.68333371480306
2026-01-16T12:00:00Z London,12.412499904632568,7.75,10.075000365575155
2026-01-16T13:00:00Z London,12.40749994913737,10,10.350000143051147
2026-01-16T14:00:00Z London,11.605000336964926,10,10.300000190734863
2026-01-16T15:00:00Z London,11.010000228881836,10,10.050000190734863
2026-01-16T16:00:00Z London,10.244166612625122,9.75,9.59166685740153
2026-01-16T17:00:00Z London,9.470000267028809,8.75,9.300000190734863
2026-01-16T18:00:00Z London,9.470000267028809,8,8.925000190734863
2026-01-16T19:00:00Z London,9.383333524068197,8,8.800000190734863
2026-01-16T20:00:00Z London,8.949999809265137,8,8.383333524068197
2026-01-16T21:00:00Z London,8.949999809265137,8,8.300000190734863
2026-01-16T22:00:00Z London,8.473333597183228,7.75,8.133333524068197
2026-01-16T23:00:00Z London,8.430000305175781,7,7.800000190734863
2026-01-17T00:00:00Z London,8.776666641235352,7.25,7.883333524068196
2026-01-17T01:00:00Z London,8.949999809265137,8,8.300000190734863
2026-01-17T02:00:00Z London,8.949999809265137,8,8.300000190734863
2026-01-17T03:00:00Z London,8.949999809265137,8,8.300000190734863
2026-01-17T04:00:00Z London,8.949999809265137,8,8.300000190734863
2026-01-17T05:00:00Z London,8.949999809265137,8,8.300000190734863
2026-01-17T06:00:00Z London,8.949999809265137,8,8.300000190734863
2026-01-17T07:00:00Z London,9.25333340962728,8,8.300000190734863
2026-01-17T08:00:00Z London,9.470000267028809,7.75,8.550000190734863
2026-01-17T09:00:00Z London,10.456666707992554,7,9.050000190734863
2026-01-17T10:00:00Z London,11.392500162124634,7.5,9.71666685740153
2026-01-17T11:00:00Z London,12.912499904632568,9,10.133333524068197
2026-01-17T12:00:00Z London,12.454999923706055,9,10.300000190734863
2026-01-17T13:00:00Z London,12.327499866485596,9.25,10.749999761581421
2026-01-17T14:00:00Z London,12.539999961853027,10,10.899999618530273
2026-01-17T15:00:00Z London,12.15749979019165,10.25,10.608332951863607
2026-01-17T16:00:00Z London,11.817500034968058,10.5,10.358332951863607
2026-01-17T17:00:00Z London,11.265000343322754,9,9.858332951863607
2026-01-17T18:00:00Z London,10.585000038146973,9,9.399999618530273
2026-01-17T19:00:00Z London,9.989999771118164,9,8.983332951863607
2026-01-17T20:00:00Z London,9.946666479110718,8.5,8.608332951863607
2026-01-17T21:00:00Z London,9.470000267028809,7,8.19166648387909
2026-01-17T22:00:00Z London,8.90666659673055,7,7.275000095367432
2026-01-17T23:00:00Z London,8.09666665395101,7,6.691666762034099
2026-01-18T00:00:00Z London,7.929999828338623,7,6.816666762034099
2026-01-18T01:00:00Z London,8.346666892369589,7,7.191666762034099
2026-01-18T02:00:00Z London,8.430000305175781,6.75,7.400000095367432
2026-01-18T03:00:00Z London,8.430000305175781,6.25,7.400000095367432
2026-01-18T04:00:00Z London,8.430000305175781,7,7.400000095367432
2026-01-18T05:00:00Z London,8.430000305175781,7,7.400000095367432
2026-01-18T06:00:00Z London,8.430000305175781,7,7.400000095367432
2026-01-18T07:00:00Z London,8.430000305175781,7,7.400000095367432
2026-01-18T08:00:00Z London,8.733333349227905,7,7.400000095367432
2026-01-18T09:00:00Z London,9.079999923706055,7,7.650000095367432
2026-01-18T10:00:00Z London,9.989999771118164,7.25,8.19166648387909
2026-01-18T11:00:00Z London,10.542500019073486,8,8.899999618530273
2026-01-18T12:00:00Z London,12.955833276112875,8.25,9.858332951863607
2026-01-18T13:00:00Z London,14.123333295186361,9.25,10.858332951863607
2026-01-18T14:00:00Z London,15.579166650772095,10,11.483332951863607
2026-01-18T15:00:00Z London,14.694999694824219,10.25,11.899999618530273
2026-01-18T16:00:00Z London,13.444999694824219,10.75,11.44166628519694
2026-01-18T17:00:00Z London,12.645833571751913,9.5,11.274999618530273
2026-01-18T18:00:00Z London,11.847500324249268,8,10.399999618530273
2026-01-18T19:00:00Z London,11.550000190734863,8,10.399999618530273
2026-01-18T20:00:00Z London,11.125,8,9.94166628519694
2026-01-18T21:00:00Z London,11.039999961853027,8,9.399999618530273
2026-01-18T22:00:00Z London,10.912499904632568,8,9.399999618530273
2026-01-18T23:00:00Z London,10.402499914169312,8,9.399999618530273
2026-01-19T00:00:00Z London,10.020000457763672,7.75,9.399999618530273
2026-01-19T01:00:00Z London,10.190000216166178,7,9.399999618530273
2026-01-19T02:00:00Z London,10.020000457763672,7,9.69166628519694
2026-01-19T03:00:00Z London,10.020000457763672,7,9.44166628519694
2026-01-19T04:00:00Z London,10.020000457763672,7,9.483332951863607
2026-01-19T05:00:00Z London,10.020000457763672,7.25,9.399999618530273
2026-01-19T06:00:00Z London,9.586666742960611,7.75,8.608332951863607
2026-01-19T07:00:00Z London,9.5,7.25,8.774999618530273
2026-01-19T08:00:00Z London,9.803333600362143,8.25,8.899999618530273
2026-01-19T09:00:00Z London,10.232500314712524,9,9.149999618530273
2026-01-19T10:00:00Z London,11.337500095367432,9,9.69166628519694
2026-01-19T11:00:00Z London,11.762500286102295,9.25,10.358332951863607
2026-01-19T12:00:00Z London,11.039999961853027,10,10.19166628519694
2026-01-19T13:00:00Z London,11.550000190734863,9.75,10.299999872843424
2026-01-19T14:00:00Z London,12.143333752950033,9.25,10.850000063578287
2026-01-19T15:00:00Z London,12.476667086283365,10,11.43333371480306
2026-01-19T16:00:00Z London,12.0600004196167,10,11.100000381469727
2026-01-19T17:00:00Z London,11.93250036239624,10,10.891667048136393
2026-01-19T18:00:00Z London,11.507500171661377,10,10.475000381469727
2026-01-19T19:00:00Z London,10.827499866485596,9.5,10.05833371480306
2026-01-19T20:00:00Z London,10.529999732971191,8,9.600000381469727
