Timestamp,CIB CT Circuit Heat Meter Energy,CIB CT Circuit Heat Meter Flow,CIB CT Circuit Heat Meter Inlet Temp,CIB CT Circuit Heat Meter Outlet Temp,CIB CT Circuit Heat Meter Power
2026-01-10T11:00:00Z London,500,140.64166514078775,51.97249984741211,48.842501640319824,510
2026-01-10T12:00:00Z London,500,146.94166692097983,52.20749886830648,49.269167264302574,500
2026-01-10T13:00:00Z London,400,148.64999771118164,52.01250044504801,49.26666704813639,480
2026-01-10T14:00:00Z London,500,146.80833435058594,51.69083309173584,48.86999924977621,480
2026-01-10T15:00:00Z London,500,149.69166564941406,51.88999938964844,49.05666637420654,480
2026-01-10T16:00:00Z London,500,149.81666564941406,52.059165954589844,49.30750052134196,490
2026-01-10T17:00:00Z London,500,150.40833282470703,52.44583384195963,49.61916637420654,520
2026-01-10T18:00:00Z London,500,151.3750025431315,55.42750040690104,52.38166618347168,550
2026-01-10T19:00:00Z London,500,152.9999974568685,57.63416608174642,54.64166673024496,560
2026-01-10T20:00:00Z London,500,148.95833460489908,56.09250005086263,53.1983331044515,560
2026-01-10T21:00:00Z London,500,151.6499989827474,56.59916559855143,53.54166603088379,570
2026-01-10T22:00:00Z London,600,151.48333358764648,57.635833422342934,54.51583353678385,550
2026-01-10T23:00:00Z London,500,148.21666717529297,57.447500228881836,54.26416746775309,580
2026-01-11T00:00:00Z London,500,150.18333307902017,56.77583281199137,53.69666608174642,570
2026-01-11T01:00:00Z London,600,152.46666844685873,57.30749988555908,54.22749996185303,590
2026-01-11T02:00:00Z London,500,151.77500025431314,57.420833587646484,54.29250144958496,570
2026-01-11T03:00:00Z London,500,152.50000127156576,57.06833299001058,54.06999969482422,550
2026-01-11T04:00:00Z London,600,153.1166674296061,56.96916643778483,53.906666119893394,560
2026-01-11T05:00:00Z London,500,153.1750005086263,56.95499960581461,53.97916634877523,550
2026-01-11T06:00:00Z London,500,152.9250005086263,57.11166572570801,54.13499927520752,580
2026-01-11T07:00:00Z London,500,151.05833307902017,56.34333292643229,53.479166666666664,520
2026-01-11T08:00:00Z London,500,149.8249994913737,56.40333366394043,53.48999913533529,520
2026-01-11T09:00:00Z London,500,152.0249989827474,56.80416679382324,53.893333435058594,540
2026-01-11T10:00:00Z London,500,152.68333307902017,57.548333485921226,54.66499996185303,520
2026-01-11T11:00:00Z London,500,152.4916674296061,58.322500228881836,55.520833333333336,530
2026-01-11T12:00:00Z London,500,153.89166514078775,58.96916707356771,56.229166666666664,540
2026-01-11T13:00:00Z London,500,153.43333435058594,60.38000011444092,57.69916661580404,510
2026-01-11T14:00:00Z London,400,152.91666666666666,60.91499996185303,58.263333320617676,500
2026-01-11T15:00:00Z London,500,151.15833282470703,61.19583384195963,58.572500228881836,500
2026-01-11T16:00:00Z London,400,153.91666539510092,61.28666687011719,58.649166425069176,500
2026-01-11T17:00:00Z London,500,154.23333358764648,61.136667251586914,58.58916664123535,500
2026-01-11T18:00:00Z London,400,153.06666819254556,61.224166552225746,58.58916727701823,500
2026-01-11T19:00:00Z London,400,151.39166641235352,60.923332850138344,58.48833306630453,460
2026-01-11T20:00:00Z London,500,151.37500127156576,60.38000011444092,58.00583299001058,450
2026-01-11T21:00:00Z London,400,152.94166819254556,59.71999994913737,57.38416703542074,430
2026-01-11T22:00:00Z London,400,152.24166615804037,59.589999516805015,57.2991673151652,420
2026-01-11T23:00:00Z London,300,150.73333358764648,59.446666399637856,57.24499924977621,400
2026-01-12T00:00:00Z London,400,150.95833460489908,59.76250012715658,57.731666564941406,540
