Timestamp,Central House Luft WS10 OAT
2026-01-20T10:00:00Z London,7.224999984105428
2026-01-20T11:00:00Z London,7.508333325386047
2026-01-20T12:00:00Z London,7.5999999443689985
2026-01-20T13:00:00Z London,7.633333285649617
2026-01-20T14:00:00Z London,7.666666706403096
2026-01-20T15:00:00Z London,7.475000023841858
2026-01-20T16:00:00Z London,7.066666642824809
2026-01-20T17:00:00Z London,6.991666674613953
2026-01-20T18:00:00Z London,6.666666666666667
2026-01-20T19:00:00Z London,6.591666579246521
2026-01-20T20:00:00Z London,7.09166665871938
2026-01-20T21:00:00Z London,6.6166666348775225
2026-01-20T22:00:00Z London,5.9416667222976685
2026-01-20T23:00:00Z London,5.850000063578288
2026-01-21T00:00:00Z London,5.583333333333333
2026-01-21T01:00:00Z London,5.616666555404663
2026-01-21T02:00:00Z London,4.891666650772095
2026-01-21T03:00:00Z London,4.841666738192241
2026-01-21T04:00:00Z London,4.566666642824809
2026-01-21T05:00:00Z London,4.733333309491475
2026-01-21T06:00:00Z London,4.691666642824809
2026-01-21T07:00:00Z London,5.091666579246521
2026-01-21T08:00:00Z London,4.658333381017049
2026-01-21T09:00:00Z London,4.891666650772095
2026-01-21T10:00:00Z London,6.099999984105428
2026-01-21T11:00:00Z London,6.608333269755046
2026-01-21T12:00:00Z London,6.366666714350383
2026-01-21T13:00:00Z London,6.024999976158142
2026-01-21T14:00:00Z London,5.958333373069763
2026-01-21T15:00:00Z London,6.149999896685283
2026-01-21T16:00:00Z London,6.641666571299235
2026-01-21T17:00:00Z London,6.591666579246521
2026-01-21T18:00:00Z London,6.725000063578288
2026-01-21T19:00:00Z London,6.558333317438762
2026-01-21T20:00:00Z London,7.058333357175191
2026-01-21T21:00:00Z London,7.108333388964335
2026-01-21T22:00:00Z London,7.233333349227905
2026-01-21T23:00:00Z London,7.433333396911621
2026-01-22T00:00:00Z London,7.075000007947286
2026-01-22T01:00:00Z London,6.12500003973643
2026-01-22T02:00:00Z London,5.8750001192092896
2026-01-22T03:00:00Z London,6.3416666984558105
2026-01-22T04:00:00Z London,6.245454441417348
2026-01-22T05:00:00Z London,6.191666603088379
2026-01-22T06:00:00Z London,5.78333334128062
2026-01-22T07:00:00Z London,5.78333334128062
2026-01-22T08:00:00Z London,5.900000095367432
2026-01-22T09:00:00Z London,6.099999904632568
2026-01-22T10:00:00Z London,6.300000150998433
2026-01-22T11:00:00Z London,6.708333373069763
2026-01-22T12:00:00Z London,6.916666746139526
2026-01-22T13:00:00Z London,6.75000003973643
2026-01-22T14:00:00Z London,6.041666626930237
2026-01-22T15:00:00Z London,5.833333293596904
2026-01-22T16:00:00Z London,5.766666611035665
2026-01-22T17:00:00Z London,6.299999952316284
2026-01-22T18:00:00Z London,6.983333349227905
2026-01-22T19:00:00Z London,7.0583332777023315
2026-01-22T20:00:00Z London,6.849999984105428
2026-01-22T21:00:00Z London,6.3750001192092896
2026-01-22T22:00:00Z London,6.058333357175191
2026-01-22T23:00:00Z London,5.7916667858759565
2026-01-23T00:00:00Z London,5.8833333651224775
2026-01-23T01:00:00Z London,6.216666618982951
2026-01-23T02:00:00Z London,5.8499999443689985
2026-01-23T03:00:00Z London,5.608333230018616
2026-01-23T04:00:00Z London,5.149999936421712
2026-01-23T05:00:00Z London,5.049999952316284
2026-01-23T06:00:00Z London,5.275000095367432
2026-01-23T07:00:00Z London,5.366666754086812
2026-01-23T08:00:00Z London,5.100000023841858
2026-01-23T09:00:00Z London,4.674999872843425
2026-01-23T10:00:00Z London,4.316666603088379
2026-01-23T11:00:00Z London,4.691666682561238
2026-01-23T12:00:00Z London,5.533333381017049
2026-01-23T13:00:00Z London,6.158333381017049
2026-01-23T14:00:00Z London,6.658333261807759
